object_id,utility_id,company_name,utility_type,electric_type,service_class,shape_area,shape_length
457,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,49541297.537011065,55096.13838705541
458,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,152349759.9478399,89075.39034984697
459,0.0,Madisonville Municipal Light & Power,0,Municipal,Municipal,558887974.0773903,179987.7853544779
460,1500.0,Farmers R.E.C.C.,200,RECC,RECC Farmers R.E.C.C.,28934838247.931923,2307634.981891459
461,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,61014699.95965651,34447.34493295639
462,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,5577350.507344031,9121.267355966109
463,2400.0,Jackson Purchase Energy Corporation,200,RECC,RECC Jackson Purchase Energy Corporation,21708776016.565018,1665379.4810142505
464,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,37072308.50767701,27420.916837115223
465,2000100.0,Kenergy Corp,200,RECC,RECC Kenergy Corp,244867778.8498454,88059.46599307643
466,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,318145.75969529466,2089.5372552214517
