object_id,utility_id,company_name,utility_type,electric_type,service_class,shape_area,shape_length
280,0.0,Falmouth City Utilities,0,Municipal,Municipal,44730881.160580896,23709.05102489705
281,1600.0,Fleming-Mason Energy Cooperative,200,RECC,RECC Fleming-Mason Energy Cooperative,36493687384.21482,1976869.650354216
282,2800.0,"Owen Electric Cooperative, Inc.",200,RECC,"RECC Owen Electric Cooperative, Inc.",66157.17553204225,930.8312846112992
283,3000.0,"Shelby Energy Cooperative, Inc.",200,RECC,"RECC Shelby Energy Cooperative, Inc.",9899957581.155008,1289142.939925546
284,1800.0,Grayson R.E.C.C.,200,RECC,RECC Grayson R.E.C.C.,25061978447.5708,1694501.2146106877
285,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,1407739.2090945821,4224.407610135897
286,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,302051.2468947944,1959.5188555132922
287,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,2705196407.696415,1032005.6611716184
288,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,288399.27567037306,2323.1228496598524
289,1600.0,Fleming-Mason Energy Cooperative,200,RECC,RECC Fleming-Mason Energy Cooperative,1042392919.3607218,186631.51660590377
290,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,3241451.3038344127,7565.598693326616
291,300.0,Kentucky Power Company,100,Investor Owned,Investor Owned Kentucky Power Company,96450193507.84402,3894677.271504355
292,1600.0,Fleming-Mason Energy Cooperative,200,RECC,RECC Fleming-Mason Energy Cooperative,226963074.93475133,76352.84685101328
293,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,138108928.3458998,85180.09850909606
294,2000200.0,Blue Grass Energy Cooperative Corp.,200,RECC,RECC Blue Grass Energy Cooperative Corp.,21723473238.554226,1989121.882280366
295,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,2591939643.5185094,661229.210577338
296,2000200.0,Blue Grass Energy Cooperative Corp.,200,RECC,RECC Blue Grass Energy Cooperative Corp.,182582613.78188533,77232.51339079205
297,2800.0,"Owen Electric Cooperative, Inc.",200,RECC,"RECC Owen Electric Cooperative, Inc.",123227999.2922223,62533.679989520526
298,2800.0,"Owen Electric Cooperative, Inc.",200,RECC,"RECC Owen Electric Cooperative, Inc.",68592914.92962253,33542.48944033559
299,2800.0,"Owen Electric Cooperative, Inc.",200,RECC,"RECC Owen Electric Cooperative, Inc.",88930197.42939857,42674.01626303433
300,2800.0,"Owen Electric Cooperative, Inc.",200,RECC,"RECC Owen Electric Cooperative, Inc.",16148275.763310542,21763.455626540883
301,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,1305218440.9916732,473367.4751456185
302,2800.0,"Owen Electric Cooperative, Inc.",200,RECC,"RECC Owen Electric Cooperative, Inc.",13502264.043119693,19225.33973961522
303,2800.0,"Owen Electric Cooperative, Inc.",200,RECC,"RECC Owen Electric Cooperative, Inc.",100750240.2359221,68593.52098502425
304,2800.0,"Owen Electric Cooperative, Inc.",200,RECC,"RECC Owen Electric Cooperative, Inc.",522580611.31438106,111508.3956136564
305,2800.0,"Owen Electric Cooperative, Inc.",200,RECC,"RECC Owen Electric Cooperative, Inc.",7124318780.684466,921534.4604245921
306,2800.0,"Owen Electric Cooperative, Inc.",200,RECC,"RECC Owen Electric Cooperative, Inc.",22203516510.59353,1877683.2091468219
307,800.0,"Owen Electric Cooperative, Inc.",200,RECC,"RECC Owen Electric Cooperative, Inc.",75855778.62556297,69358.45824246433
308,2800.0,"Owen Electric Cooperative, Inc.",200,RECC,"RECC Owen Electric Cooperative, Inc.",49716062.77628673,31858.24572401315
309,2800.0,"Owen Electric Cooperative, Inc.",200,RECC,"RECC Owen Electric Cooperative, Inc.",28315211.430637535,30120.35150877079
310,2800.0,"Owen Electric Cooperative, Inc.",200,RECC,"RECC Owen Electric Cooperative, Inc.",853212149.9762051,177879.4345068873
311,2800.0,"Owen Electric Cooperative, Inc.",200,RECC,"RECC Owen Electric Cooperative, Inc.",43221795.86800498,28899.606281254768
312,2800.0,"Owen Electric Cooperative, Inc.",200,RECC,"RECC Owen Electric Cooperative, Inc.",372322555.472487,133934.50958769544
313,2800.0,"Owen Electric Cooperative, Inc.",200,RECC,"RECC Owen Electric Cooperative, Inc.",6273.528140130428,323.65405238119246
314,0.0,Henderson Municipal Power & Light,0,Municipal,Municipal,534672916.34826547,157370.24181052155
315,1001200.0,"Duke Energy Kentucky, Inc.",100,Investor Owned,"Investor Owned Duke Energy Kentucky, Inc.",8174053979.399236,1872535.993978153
316,2700.0,Nolin R.E.C.C.,200,RECC,RECC Nolin R.E.C.C.,166480.27026334728,1614.8450600375727
317,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,788883555.2695733,326678.738036398
318,0.0,Fulton Electric & Gas Systems,0,Municipal,Municipal,201953632.96367735,86621.18121181642
319,0.0,Hickman Electric & Gas Systems,0,Municipal,Municipal,77181462.65975505,134437.8752453397
320,0.0,Hickman Electric & Gas Systems,0,Municipal,Municipal,1210934.4274975471,5395.96428995906
321,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,9104593.21575116,12148.40823652682
322,0.0,Hickman Electric & Gas Systems,0,Municipal,Municipal,65250826.78784799,54911.51846102676
323,0.0,Gibson Electric Membership Corp.,0,TVA,TVA Gibson Electric Membership Corp.,747596932.6011974,100025.85690622649
324,0.0,Murray Electric and Natural Gas Syst,0,Municipal,Municipal,204105689.89879093,83573.83262045427
325,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,76546.7716170377,1063.2511661537924
326,3100.0,South Kentucky R.E.C.C.,200,RECC,RECC South Kentucky R.E.C.C.,814130.5072920219,3368.255036106476
327,3100.0,South Kentucky R.E.C.C.,200,RECC,RECC South Kentucky R.E.C.C.,16589983.151886048,22419.202594098933
328,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,118521001.62781414,62379.91361505546
329,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,70443.6545145116,1018.5317461015778
330,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,18456267.20489875,19652.24724633241
331,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,42748.51467007395,940.5500598595432
332,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,304195.8201824725,2227.7649449467276
333,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,160911.78462814292,1564.1732940411364
334,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,112403880.08474153,106725.69713697681
335,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,499296.1631753134,2697.9346238473563
336,3100.0,South Kentucky R.E.C.C.,200,RECC,RECC South Kentucky R.E.C.C.,6785661.250986192,17347.814201148012
337,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,383950.4863899756,2670.9043844142866
338,3100.0,South Kentucky R.E.C.C.,200,RECC,RECC South Kentucky R.E.C.C.,962148.1727514148,3803.213140349943
339,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,201660649.73487157,83325.83558995785
340,0.0,Jellico Electric & Water System,0,Municipal,Municipal,2366095463.6299825,218009.95324428153
341,3100.0,South Kentucky R.E.C.C.,200,RECC,RECC South Kentucky R.E.C.C.,523885.3702593789,3479.5494006894733
342,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,1521147.5343709223,6998.096100055105
343,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,28842901.11149426,46696.07663769543
344,400.0,Kentucky Utilities Company,100,Investor Owned,Investor Owned Kentucky Utilities Company,208765.00415205062,1775.260757994395
345,0.0,Franklin Electric Plant Board,0,Municipal,Municipal,245221971.01942444,99511.02683727752
